scenario,label,seed,test_dice,WT,TC,ET,full_credit_bound_latency_ms,covered_operator_cost_ms,actual_latency_ms,local_training_energy_mJ,bf16_assignment_rate,actual_latency_norm_to_static_bf16,energy_norm_to_static_bf16
ACF_static_BF16,Static BF16,0,87.30728695211661,90.55671229081995,88.68130184127611,82.68384672425378,164835.269537731,267.806614894737,165103.07615262573,928206.5723005161,1.0,1.0,1.0
ACF_static_BF16,Static BF16,1,87.37189530967412,90.42583048343658,88.48235152561746,83.20750391996829,164717.7713463859,267.70511007894754,164985.47645646485,928544.9633221349,1.0,1.0,1.0
ACF_static_BF16,Static BF16,2,87.07146166389849,89.45430513690499,88.24434282644147,83.51573702834901,165892.75325983626,268.7201582368422,166161.4734180731,931252.0914950857,1.0,1.0,1.0
ACF_static_BF16,Static BF16,3,86.58064168028943,87.81509220600128,88.58400589042623,83.3428269444408,164717.77134638594,267.7051100789475,164985.47645646488,928883.3543437537,1.0,1.0,1.0
ACF_static_BF16,Static BF16,4,87.59898702455286,90.78131945694194,88.7426584278329,83.27298318888373,165187.76411176604,268.1111293421054,165455.87524110815,928883.3543437537,1.0,1.0,1.0
ACF_static_FP8,Static FP8,0,86.21796032648741,90.05777877919815,87.27554252406952,81.32055967619458,41326.217256969896,267.806614894737,41594.023871864636,236883.5212543703,0.0,0.2519276129865321,0.25520560651414664
ACF_static_FP8,Static FP8,1,87.3318077869874,90.16338821719675,88.51595869581709,83.31607644794839,41296.81396739431,267.70511007894754,41564.519077473255,236969.88054028148,0.0,0.25192835133243374,0.25520560651414664
ACF_static_FP8,Static FP8,2,87.51915465633408,89.04306737815632,89.8421524536042,83.67224413724172,41590.84686315015,268.7201582368422,41859.567021386996,237660.75482757093,0.0,0.25192101490377133,0.25520560651414664
ACF_static_FP8,Static FP8,3,86.31413734609913,87.71819875520819,88.4947750525751,82.72943823051412,41296.81396739431,267.7051100789475,41564.519077473255,237056.2398261926,0.0,0.2519283513324337,0.2552056065141466
ACF_static_FP8,Static FP8,4,87.36529391008168,90.39379691376406,88.67423982914609,83.02784498733486,41414.42712569665,268.1111293421054,41682.53825503876,237056.23982619267,0.0,0.2519254042462831,0.2552056065141467
ACF_progress_only,Progress only,0,87.02367955302616,90.15287862104529,88.34266661844693,82.57549341958625,146246.67042959164,266.2840426578949,146512.95447224955,584939.348266666,0.503125,0.8874029357079273,0.6301822953234661
ACF_progress_only,Progress only,1,87.40816553372785,90.26911710991578,88.56906229867387,83.38631719259388,136497.42465580156,266.0810330263159,136763.50568882786,581875.3108562314,0.5,0.8289426962070567,0.6266528104082394
ACF_progress_only,Progress only,2,86.84570152941616,89.18629120377933,88.73822842408245,82.6125849603867,143897.74130530684,266.9945763684212,144164.73588167527,580171.883654298,0.49375,0.8676183047495457,0.6230019657973135
ACF_progress_only,Progress only,3,87.14594251232536,88.37022111696355,89.27333141722423,83.79427500278834,139287.40312372017,266.89307155263174,139554.2961952728,600864.0503202181,0.525,0.8458580669802007,0.6468670662579826
ACF_progress_only,Progress only,4,87.41507528149312,90.51950324984158,88.61319448116525,83.11252811347251,139140.61660975683,266.99457636842124,139407.61118612526,600359.9868488027,0.525,0.8425667023487413,0.6463244109621823
ACF_entropy_only,Entropy only,0,87.3423378217254,90.59022650999181,88.75529784702975,82.68148910815462,163220.15801630536,267.7051100789475,163487.8631263843,855117.3689452913,0.89375,0.9902169416592318,0.9212576106048499
ACF_entropy_only,Entropy only,1,87.32391516333733,90.41409054223229,88.41996226189815,83.13769268588155,164482.77496369588,267.5021004473686,164750.27706414324,874610.171880693,0.921875,0.9985744236561109,0.941914722957007
ACF_entropy_only,Entropy only,2,86.92149078618144,89.58883019054637,88.53146307060472,82.6441790973932,165540.25868580115,268.41564378947385,165808.67432959063,844805.2061473543,0.875,0.9978767696191837,0.9071713383119016
ACF_entropy_only,Entropy only,3,86.62670052646183,87.78783391503727,88.69106347260747,83.40120419174075,164600.2731550409,267.60360526315804,164867.87676030406,864237.214134736,0.90625,0.9992872118280554,0.9304044583136173
ACF_entropy_only,Entropy only,4,87.64983110315421,90.68646213587593,88.90217838326002,83.36085279032672,165187.76411176604,268.1111293421054,165455.87524110815,864615.2617382973,0.90625,1.0,0.9308114497854673
ACF_full,Entropy + progress,0,87.16231647738293,90.44140268774593,88.67047625547303,82.37507048892981,157464.24121084396,266.69006192105275,157730.931272765,708056.8511598642,0.68125,0.9553482281999052,0.7628224926321937
ACF_full,Entropy + progress,1,87.42727206269443,90.18511491663315,88.60866448811939,83.48803678333073,162074.57939243066,266.79156673684224,162341.3709591675,725533.4002096049,0.70625,0.9839737075402814,0.7813659315040619
ACF_full,Entropy + progress,2,86.71641606005561,89.1845586720635,88.5436682589847,82.4210212491186,164952.767729076,267.9081197105264,165220.67584878654,743488.4483928697,0.728125,0.9943380523178231,0.798375064263459
ACF_full,Entropy + progress,3,86.8177042538159,87.39820420742035,89.2827343088911,83.77217424513627,162162.67429420011,266.79156673684224,162429.46586093697,721587.2517241932,0.7,0.9845076630354044,0.7768330096021443
ACF_full,Entropy + progress,4,87.41283027280643,90.51403571577633,88.64986378192923,83.07459132071371,160576.96606235014,266.79156673684224,160843.757629087,702054.7922068486,0.671875,0.9721247879212496,0.7558051168898844
